Partial,Epoch,Train acc,Train Action Loss,Train Location Loss,Train Baseline Loss,Parital,Epoch,Test Accuracy (%),Test Action Loss,Test Location Loss,Test Baseline Loss,Test Accuracy,Test ASD Accuracy,Test TD Accuracy
12,12,60.5,0.6512870073318482,3.0728874349594117,0.4214751296043396,12,12,55.55555555555556,0.6908000002304713,2.852586279975043,0.3872913718223572,0.5555555555555556,0.8181818181818182,0.30434782608695654
12,13,60.7,0.6506156921386719,3.0505039825439453,0.41764990615844727,12,13,60.0,0.6650393168131511,3.107684560616811,0.41065282970666883,0.6,0.5454545454545454,0.6521739130434783
12,14,61.5,0.6567860603332519,3.067880458831787,0.41758102703094485,12,14,60.0,0.6737456752194299,2.8077067295710245,0.40571766048669816,0.6,0.5,0.6956521739130435
12,15,61.3,0.6523703451156616,3.008222059249878,0.4113083119392395,12,15,53.333333333333336,0.690969801776939,2.446456299887763,0.36082532405853274,0.5333333333333333,0.8181818181818182,0.2608695652173913
12,16,61.5,0.6457201781272888,2.97906218624115,0.4076170768737793,12,16,60.0,0.6682239401671621,3.0935980161031087,0.39633324593305586,0.6,0.6818181818181818,0.5217391304347826
12,17,60.7,0.6526791000366211,2.823521764755249,0.39816888523101807,12,17,48.888888888888886,0.7151639978090922,2.1606470306714374,0.3274442262119717,0.4888888888888889,0.8636363636363636,0.13043478260869565
12,18,59.5,0.648503276348114,2.8076996021270753,0.38680137872695924,12,18,64.44444444444444,0.66539772550265,3.1784941408369276,0.41283340454101564,0.6444444444444445,0.45454545454545453,0.8260869565217391
12,19,63.6,0.6454361543655396,3.0919942865371706,0.40556882619857787,12,19,57.77777777777778,0.675609991285536,2.530381389458974,0.3705828930768702,0.5777777777777777,0.36363636363636365,0.782608695652174
12,20,59.9,0.6589125814437866,2.698964303970337,0.3803719837665558,12,20,57.77777777777778,0.6743498153156704,2.647993874549866,0.36674026764101453,0.5777777777777777,0.6363636363636364,0.5217391304347826
12,21,62.7,0.6408139843940734,2.86266605758667,0.3913445694446564,12,21,60.0,0.6671609431505203,2.792590692308214,0.37460199892520907,0.6,0.5,0.6956521739130435
12,22,63.9,0.6276836180686951,2.907278553009033,0.3930941276550293,12,22,60.0,0.6774266123771667,2.4727438343895805,0.3703043460845947,0.6,0.6818181818181818,0.5217391304347826
12,23,64.6,0.6300297727584839,2.9905158615112306,0.3919748635292053,12,23,57.77777777777778,0.6752102851867676,2.5177623762024774,0.3547387108206749,0.5777777777777777,0.7272727272727273,0.43478260869565216
12,24,61.4,0.6507364263534546,2.6964808297157288,0.37123051500320436,12,24,44.44444444444444,0.7253241896629333,1.4325809293323093,0.2845572614007526,0.4444444444444444,0.8636363636363636,0.043478260869565216
12,25,62.7,0.6397484045028686,2.728546419143677,0.37366826701164246,12,25,60.0,0.6724982844458686,2.6938395195537144,0.3583706647157669,0.6,0.6363636363636364,0.5652173913043478
12,26,63.1,0.6363724803924561,2.697107034921646,0.3714752689599991,12,26,55.55555555555556,0.666997946633233,2.454870589574178,0.3334134386645423,0.5555555555555556,0.6363636363636364,0.4782608695652174
12,27,63.2,0.6355097808837891,2.6542272453308104,0.367867166519165,12,27,62.22222222222222,0.6775509019692739,2.5685301303863524,0.36121409916215474,0.6222222222222222,0.45454545454545453,0.782608695652174
12,28,62.7,0.6373801345825195,2.5435961093902586,0.3615555171966553,12,28,62.22222222222222,0.664031453927358,2.5335576163397895,0.3574242788884375,0.6222222222222222,0.6818181818181818,0.5652173913043478
12,29,65.6,0.6212572493553161,2.675136732816696,0.3706633081436157,12,29,42.22222222222222,0.7073126484950384,1.0071829107072618,0.2647170960903168,0.4222222222222222,0.7727272727272727,0.08695652173913043
12,30,62.7,0.6408251242637635,2.4654405488967894,0.3537376937866211,12,30,57.77777777777778,0.679623211423556,1.896551823616028,0.3305456651581658,0.5777777777777777,0.7727272727272727,0.391304347826087
12,31,62.6,0.6318792538642883,2.3907696766853332,0.34968027877807617,12,31,44.44444444444444,0.7293480768799782,1.040858221054077,0.27114512026309967,0.4444444444444444,0.7727272727272727,0.13043478260869565
