Train acc,Train loss,test loss,test ASD acc,test TD acc,test AVG acc,test acc
0.4740000367164612,0.6935301814079284,0.6914886832237244,0.5,0.75,0.625,0.5833333134651184
0.5460000038146973,0.6925292491912842,0.6925556063652039,0.5,0.75,0.625,0.5833333134651184
0.5200000405311584,0.6925565514564515,0.6906614899635315,0.5,0.75,0.625,0.5833333134651184
0.5090000033378601,0.6928650064468383,0.6907808780670166,0.5,0.75,0.625,0.5833333134651184
0.5110000371932983,0.6926218962669373,0.6913642883300781,0.5,0.75,0.625,0.5833333134651184
0.5060000419616699,0.6929304785728455,0.690015971660614,0.5,0.75,0.625,0.5833333134651184
0.5170000195503235,0.6927040052413941,0.6900925636291504,0.5833333134651184,0.6666666865348816,0.625,0.6111111044883728
0.5190000534057617,0.6928139243125916,0.6902079582214355,0.5416666865348816,0.75,0.6458333432674408,0.6111111044883728
0.5550000071525574,0.6912734813690186,0.6905282139778137,0.5,0.75,0.625,0.5833333134651184
0.48500001430511475,0.6929760456085206,0.687712550163269,0.5833333134651184,0.6666666865348816,0.625,0.6111111044883728
0.5180000066757202,0.6919853792190552,0.6891423463821411,0.625,0.6666666865348816,0.6458333432674408,0.6388888955116272
0.531000018119812,0.6914870438575744,0.6888611316680908,0.5833333134651184,0.75,0.6666666567325592,0.6388888955116272
0.5760000348091125,0.6859097514152527,0.6860117316246033,0.7916666865348816,0.5833333134651184,0.6875,0.7222222089767456
0.5380000472068787,0.6859282903671264,0.6015663743019104,0.9583333134651184,0.75,0.8541666567325592,0.8888888955116272
0.5240000486373901,0.6857726192474365,0.5864900946617126,1.0,0.25,0.625,0.75
0.531000018119812,0.6812508492469788,0.5542438626289368,0.9583333134651184,0.9166666865348816,0.9375,0.944444477558136
0.5320000052452087,0.6793273820877075,0.7044304609298706,0.0,1.0,0.5,0.3333333432674408
0.534000039100647,0.6739416222572326,0.7014934420585632,0.0,1.0,0.5,0.3333333432674408
0.5300000309944153,0.6750530624389648,0.707554042339325,0.0,1.0,0.5,0.3333333432674408
0.5400000214576721,0.6749942438602448,0.7149356007575989,0.0,1.0,0.5,0.3333333432674408
0.5550000071525574,0.6597152740955353,0.7064530253410339,0.0,1.0,0.5,0.3333333432674408
0.5460000038146973,0.6646155652999878,0.6984866857528687,0.0833333358168602,0.9166666865348816,0.5000000111758709,0.3611111044883728
0.5490000247955322,0.6696653623580933,0.7231763005256653,0.0,1.0,0.5,0.3333333432674408
0.5200000405311584,0.6732706704139709,0.7120332717895508,0.0,1.0,0.5,0.3333333432674408
0.5220000147819519,0.6813896899223327,0.7063592076301575,0.0,1.0,0.5,0.3333333432674408
0.5260000228881836,0.6694997897148133,0.6943730711936951,0.0,1.0,0.5,0.3333333432674408
0.534000039100647,0.6706839485168457,0.7156187891960144,0.0,1.0,0.5,0.3333333432674408
0.5300000309944153,0.6636427445411682,0.7036133408546448,0.0,1.0,0.5,0.3333333432674408
0.5320000052452087,0.6649032735824585,0.7160308361053467,0.0,1.0,0.5,0.3333333432674408
0.49500003457069397,0.6710004706382752,0.7118391990661621,0.0,1.0,0.5,0.3333333432674408
0.527999997138977,0.6711050410270691,0.7168124318122864,0.0,1.0,0.5,0.3333333432674408
0.5270000100135803,0.6649306967258454,0.7183325886726379,0.0,1.0,0.5,0.3333333432674408
0.5450000166893005,0.668421950340271,0.720282793045044,0.0,1.0,0.5,0.3333333432674408
0.5230000019073486,0.6685475611686706,0.7065666317939758,0.0,1.0,0.5,0.3333333432674408
0.531000018119812,0.6575386004447937,0.7150012254714966,0.0,1.0,0.5,0.3333333432674408
0.531000018119812,0.6667834100723267,0.7266051769256592,0.0,1.0,0.5,0.3333333432674408
0.5390000343322754,0.6651525440216064,0.7270389199256897,0.0,1.0,0.5,0.3333333432674408
0.5230000019073486,0.6653437738418579,0.7029856443405151,0.0,1.0,0.5,0.3333333432674408
0.5550000071525574,0.6622091932296753,0.7173962593078613,0.0,1.0,0.5,0.3333333432674408
